200 1200 225514 12 0 0.7
38 126 2 3746 0 C 0
102 162 2 1346 0 C 0
98 114 2 6636 8676 M 20
145 187 2 9409 0 C 0
104 158 2 4149 3758 O 30
22 176 2 1945 0 C 0
111 163 2 3900 2348 M 30
56 107 2 9218 4603 M 20
4 58 2 7473 2492 M 20
111 189 2 1537 7111 M 30
14 163 2 5859 6732 M 20
124 167 2 9195 0 C 0
36 63 2 937 5380 O 30
75 140 2 6099 9431 O 20
14 159 2 7482 0 C 0
181 182 2 1436 4135 O 10
27 163 2 6154 0 C 0
98 147 2 3985 3280 O 20
24 155 2 5240 5003 M 10
91 164 2 6089 3355 M 20
50 147 2 6870 8655 M 10
63 168 2 4298 0 C 0
16 75 2 5566 5437 M 20
101 126 2 6992 0 C 0
8 91 2 2141 0 C 0
58 165 2 8987 4171 M 20
84 143 2 3117 0 C 0
84 184 2 7258 3691 O 20
37 183 2 3944 7066 O 20
37 47 2 63 0 C 0
21 82 2 8128 1161 O 30
7 103 2 664 3182 O 10
41 80 2 9936 0 C 0
90 144 2 2385 5066 O 30
84 198 2 3828 0 C 0
83 106 2 1684 0 C 0
141 172 2 6899 0 C 0
55 165 2 2336 0 C 0
77 176 2 549 0 C 0
59 129 2 8452 0 C 0
21 89 2 9985 0 C 0
133 148 2 8026 0 C 0
166 196 2 4225 8591 M 10
67 166 2 9953 0 C 0
68 131 2 9659 0 C 0
135 176 2 3464 6259 O 20
85 106 2 7516 0 C 0
36 97 2 5953 7888 O 30
25 120 2 1452 561 M 30
72 163 2 1980 0 C 0
72 149 2 3305 0 C 0
77 121 2 5639 0 C 0
35 158 2 7843 0 C 0
67 122 2 8067 0 C 0
2 193 2 3955 0 C 0
35 86 2 9093 5765 O 20
48 185 2 793 0 C 0
24 73 2 6043 2360 M 10
57 119 2 1398 4150 O 20
25 125 2 3367 0 C 0
49 161 2 1040 6559 O 20
181 191 2 9191 0 C 0
118 179 2 5430 0 C 0
65 125 2 1315 0 C 0
18 71 2 6933 9876 O 30
117 158 2 4060 0 C 0
13 41 2 6555 4690 M 30
121 130 2 850 6141 O 30
44 195 2 8369 6882 M 30
23 161 2 4152 0 C 0
127 195 2 6859 0 C 0
78 131 2 1000 2808 O 10
13 137 2 1811 9234 O 10
30 68 2 6543 0 C 0
32 79 2 2498 0 C 0
51 135 2 1402 2638 M 10
4 177 2 3086 0 C 0
17 59 2 5578 7725 O 10
78 109 2 5582 0 C 0
80 136 2 9400 0 C 0
111 174 2 1578 7582 M 20
136 173 2 2697 3141 O 30
135 142 2 749 7894 M 30
32 87 2 6280 0 C 0
137 192 2 5992 0 C 0
30 70 2 2155 0 C 0
2 175 2 6544 0 C 0
47 128 2 1971 6276 O 30
167 178 2 3183 1625 O 20
50 152 2 6145 7032 M 10
31 129 2 849 0 C 0
54 158 2 1065 0 C 0
19 126 2 6245 7569 O 20
28 60 2 1122 1318 O 10
96 192 2 1675 8291 O 30
88 190 2 5396 6491 O 20
41 194 2 2345 6231 M 30
79 146 2 1846 9922 M 20
101 116 2 5147 0 C 0
91 160 2 599 2992 O 20
76 116 2 5578 0 C 0
15 20 2 9025 0 C 0
81 105 2 1429 1878 M 20
144 157 2 2943 644 O 30
43 185 2 353 936 O 10
110 198 2 3300 2174 O 20
93 188 2 9 0 C 0
51 169 2 863 6504 O 30
139 145 2 4469 6014 O 20
100 110 2 3801 7058 M 20
9 164 2 725 0 C 0
115 132 2 9062 7651 O 30
34 48 2 8590 5847 M 30
40 149 2 8211 3993 O 10
113 197 2 1057 0 C 0
39 143 2 5863 3226 M 20
92 153 2 1099 6489 O 20
165 199 2 5358 0 C 0
7 156 2 1508 5168 O 30
170 194 2 3293 7756 M 10
26 180 2 2590 7967 O 10
94 140 2 4193 7863 M 10
52 184 2 664 0 C 0
37 154 2 1413 0 C 0
1 93 2 3492 2134 O 20
113 134 2 3301 0 C 0
63 144 2 403 9911 O 20
142 174 2 1067 6444 M 10
110 131 1 2846 0 C 0
7 37 2 5833 0 C 0
40 110 2 9496 0 C 0
73 74 1 6994 2395 O 10
3 91 2 7381 7736 O 20
39 34 1 564 0 C 0
47 197 2 3024 8074 M 30
44 6 1 9990 87 O 20
23 80 2 8326 3726 M 30
137 129 1 8669 0 C 0
13 74 2 7869 3624 O 10
23 106 2 8903 6267 O 30
148 105 1 7358 0 C 0
23 164 2 2270 2111 M 20
7 151 1 5045 0 C 0
11 90 2 2663 7088 M 30
35 36 2 5360 0 C 0
84 196 2 9841 6524 M 30
10 83 1 692 0 C 0
107 196 2 1343 0 C 0
30 101 2 4633 7647 M 30
105 155 2 1318 7763 O 20
11 140 2 4181 0 C 0
193 129 1 1419 0 C 0
20 152 2 4116 0 C 0
130 199 2 2694 2439 O 20
80 62 1 370 0 C 0
55 113 2 4134 2157 O 20
75 170 1 8396 0 C 0
39 185 2 5087 7240 M 30
21 130 2 2281 0 C 0
97 41 1 3301 4768 M 10
21 159 2 8764 1758 O 20
47 142 1 7853 1479 M 30
38 156 2 3565 0 C 0
18 176 1 6630 4021 M 30
92 95 2 4322 0 C 0
159 59 1 8864 0 C 0
95 188 1 8505 1163 O 10
177 191 1 5438 7132 M 30
144 164 2 5981 1742 M 10
68 157 2 693 7665 O 30
1 123 2 9010 0 C 0
34 82 2 7890 7108 M 10
146 6 1 587 3184 M 20
118 163 2 8438 0 C 0
49 185 1 6794 1233 O 10
148 185 2 5411 0 C 0
16 95 2 6687 6048 O 10
90 133 1 619 9148 M 10
27 10 1 7223 7415 O 20
136 168 2 3934 4958 O 30
100 117 1 9679 0 C 0
88 133 2 3999 0 C 0
6 156 1 1246 3097 O 20
121 128 2 9699 212 M 20
69 73 1 4599 9600 O 10
23 189 2 1701 4645 M 20
80 178 1 9012 6596 M 10
1 153 2 6441 3268 O 20
166 65 1 2930 0 C 0
115 164 2 2832 8248 O 30
79 182 1 7814 1697 M 10
65 52 1 9304 2644 M 30
73 171 2 8387 0 C 0
76 191 2 5666 0 C 0
64 95 2 6560 0 C 0
6 56 2 2481 8372 O 20
91 118 2 1600 9588 M 20
121 113 1 2998 5560 O 20
84 159 1 5975 4310 M 20
31 188 1 2675 0 C 0
153 169 2 4646 496 O 30
142 161 2 119 0 C 0
101 156 2 2564 0 C 0
112 186 2 318 0 C 0
14 130 1 1165 6905 M 20
58 167 2 48 6760 O 10
63 160 2 5658 7785 O 20
16 151 2 6989 2729 M 30
52 138 1 2862 9617 O 10
51 175 2 5533 7682 O 30
44 122 2 1645 9896 O 10
70 116 1 1726 0 C 0
22 130 1 3220 0 C 0
145 184 2 5728 7194 M 30
49 171 2 233 5450 M 10
4 88 2 4478 1656 O 20
70 161 2 8678 1664 M 30
152 184 2 3760 4229 M 30
190 70 1 4166 3992 M 30
13 117 2 6715 0 C 0
21 114 2 5590 0 C 0
47 50 2 3417 7495 O 10
59 81 2 446 0 C 0
184 14 1 3142 6867 O 10
49 158 2 4941 0 C 0
34 113 1 3313 0 C 0
145 180 2 3294 7160 O 20
100 150 2 8820 8136 M 10
29 146 2 4242 0 C 0
163 195 2 4004 5458 O 20
1 128 2 2714 9630 O 10
170 61 1 9015 399 O 30
111 144 2 4294 0 C 0
192 193 2 406 8467 M 30
43 138 2 5068 9320 M 10
28 35 2 5605 5551 O 10
89 194 1 7461 6974 O 20
159 18 1 7236 0 C 0
82 122 2 9900 7478 O 30
50 46 1 7782 250 O 20
16 144 2 7106 6711 M 30
159 135 1 9741 0 C 0
153 72 1 3568 0 C 0
80 164 2 8256 0 C 0
36 156 2 9007 8970 M 30
158 173 2 8429 8715 M 10
140 146 2 5353 5974 O 10
92 32 1 7456 8831 O 30
31 173 1 3107 0 C 0
82 187 1 2440 0 C 0
6 21 2 8065 7695 M 20
80 34 1 1715 0 C 0
92 136 1 1312 0 C 0
40 159 1 1961 5515 O 20
121 120 1 5596 0 C 0
74 101 2 6328 120 O 30
151 173 1 6986 0 C 0
132 99 1 9067 1824 M 10
111 124 2 6869 8814 M 10
180 179 1 1519 615 O 10
67 77 2 8027 750 M 20
97 54 1 5299 8708 O 10
87 171 2 6382 8020 O 20
26 25 1 7604 2449 O 10
0 85 1 4588 8385 O 20
9 115 1 2874 3435 M 20
51 194 1 8006 0 C 0
105 114 2 2631 6992 O 30
177 197 2 2258 8291 O 10
142 190 1 6578 2879 M 30
163 177 2 2938 0 C 0
20 180 2 2365 0 C 0
139 175 2 6936 8414 M 30
134 169 1 6503 1495 O 10
39 82 2 4339 327 O 20
198 184 1 9588 9776 O 10
108 169 1 8028 0 C 0
48 174 2 2420 2411 M 10
49 155 2 7697 3232 M 10
18 183 2 585 0 C 0
137 45 1 6088 0 C 0
86 160 2 1102 7791 M 20
131 81 1 5797 0 C 0
156 151 1 3776 2751 O 20
3 22 2 1981 0 C 0
55 94 2 8153 2591 O 30
2 151 1 6367 8438 M 10
133 52 1 2660 2031 O 10
193 139 1 3285 4201 M 20
100 178 2 9348 4973 O 30
47 65 1 6076 8621 O 20
124 126 1 7197 5750 M 20
30 109 2 6652 4376 M 10
39 75 2 3179 5594 O 10
23 1 1 6883 7711 O 30
17 40 1 7549 0 C 0
179 44 1 4371 0 C 0
173 65 1 374 4730 O 30
42 177 2 6978 6637 M 10
88 171 2 5258 3983 O 30
71 134 2 7324 0 C 0
162 175 2 3803 7422 O 10
54 123 2 1330 0 C 0
56 192 2 7166 451 M 10
107 181 2 60 0 C 0
55 12 1 4323 1302 O 10
76 176 2 9556 1934 M 30
53 115 1 5673 2687 M 10
56 89 2 2972 9119 O 30
168 147 1 7391 5268 O 20
52 180 2 5641 4260 M 20
15 35 2 699 0 C 0
74 90 2 5589 0 C 0
103 152 1 8067 0 C 0
73 104 2 9852 0 C 0
39 131 1 9778 3780 O 10
152 188 2 193 732 O 30
120 27 1 3534 2182 O 30
80 89 1 1148 739 O 20
159 27 1 7397 3693 M 20
122 165 1 2552 9779 M 30
60 80 1 5638 7155 O 20
58 83 2 1525 150 O 10
141 24 1 895 5768 M 30
58 69 2 6611 0 C 0
148 57 1 5230 2186 O 20
72 128 2 3692 0 C 0
59 144 2 4479 3252 M 10
184 37 1 4981 0 C 0
33 80 2 8316 0 C 0
66 69 2 675 0 C 0
174 99 1 7824 0 C 0
131 16 1 9455 3783 M 20
26 74 2 4642 6097 O 20
72 98 2 341 1210 O 30
137 194 2 4630 0 C 0
28 89 2 318 9391 O 10
199 109 1 6244 4863 M 30
29 35 2 300 0 C 0
0 133 2 6864 0 C 0
50 136 2 7004 6084 M 30
136 155 1 6799 0 C 0
179 163 1 2009 9051 O 10
20 165 2 7973 6424 M 10
159 184 2 3979 3995 M 30
19 178 1 6232 6182 M 30
61 177 2 2287 1040 O 10
146 189 2 8258 0 C 0
6 51 2 9087 7935 M 10
10 148 1 4630 3027 M 20
107 25 1 712 6898 M 20
90 122 1 1766 1401 M 30
55 44 1 1530 0 C 0
47 140 1 3153 9031 O 20
76 51 1 8026 5424 O 10
191 30 1 8914 2426 M 30
162 99 1 5495 163 O 30
166 162 1 6943 6473 M 10
122 157 2 4307 0 C 0
83 154 2 8607 5572 O 30
69 52 1 6565 1778 O 30
126 139 2 3803 9901 M 10
196 110 1 8108 6142 O 20
29 140 1 5397 0 C 0
117 86 1 573 1513 M 10
64 65 2 6981 0 C 0
128 147 2 5091 2111 O 10
134 156 1 1866 3437 M 30
169 131 1 431 0 C 0
40 44 2 7418 9284 O 20
13 16 2 5832 0 C 0
154 151 1 5231 0 C 0
137 12 1 3194 431 M 20
74 129 1 1696 3269 M 20
40 168 2 8737 5170 O 20
76 160 1 4689 144 M 30
119 90 1 3921 9870 O 10
30 46 2 2413 0 C 0
23 165 2 3068 6793 M 20
11 59 1 5571 2166 M 10
63 83 1 3370 9605 M 20
9 7 1 151 5223 M 10
141 154 2 9225 0 C 0
22 21 1 8965 8667 M 30
162 198 2 4895 4974 O 30
120 133 1 9532 0 C 0
48 98 1 9219 6521 M 20
174 86 1 3037 3295 O 10
105 195 2 9121 8416 O 30
10 49 2 380 6630 M 30
56 111 2 8816 4425 M 10
23 34 2 9736 0 C 0
109 173 1 4010 9739 M 30
144 151 2 6983 6670 O 20
193 191 1 1446 0 C 0
185 42 1 49 3371 M 20
116 95 1 5925 7505 M 20
198 44 1 2037 0 C 0
196 174 1 6882 8104 O 10
3 162 2 941 561 M 30
173 52 1 8191 0 C 0
9 189 2 5635 18 O 20
107 45 1 1661 6393 O 20
143 191 2 9804 0 C 0
147 185 2 7897 0 C 0
127 178 1 4303 5711 M 10
36 133 2 5599 7412 M 20
50 133 2 2215 0 C 0
199 45 1 6609 0 C 0
49 107 2 3284 0 C 0
109 197 1 4098 9636 M 20
36 68 1 9899 6105 O 10
122 10 1 7175 4440 M 30
24 94 2 3280 6367 O 20
47 161 2 2690 4116 M 30
51 96 1 177 3984 O 20
42 87 2 6178 8104 M 10
5 30 2 643 1382 O 30
92 162 2 2039 0 C 0
65 149 1 8361 6911 O 10
128 176 1 6214 93 O 10
32 169 2 6726 0 C 0
86 162 2 8780 0 C 0
176 189 2 8673 0 C 0
174 51 1 28 1704 O 30
155 114 1 699 5914 M 20
64 98 2 7638 5549 O 30
15 137 1 3674 7187 O 10
123 171 2 5630 3699 O 10
76 126 1 5169 0 C 0
70 84 2 9018 0 C 0
196 66 1 4804 0 C 0
113 89 1 5737 7863 O 10
52 196 1 7876 0 C 0
118 44 1 3567 0 C 0
33 185 2 3012 4532 M 30
88 91 2 6014 1846 M 20
8 33 2 4152 4894 O 30
31 37 2 2579 0 C 0
87 107 2 8838 7756 O 30
93 177 2 4991 3464 M 30
117 156 2 2531 0 C 0
52 154 1 2450 3383 M 30
84 98 2 8509 0 C 0
183 2 1 6328 4859 M 10
36 186 2 5449 0 C 0
106 185 1 1430 0 C 0
65 179 2 9612 0 C 0
73 14 1 1001 0 C 0
23 138 2 7865 4550 O 30
25 100 2 7161 0 C 0
53 72 2 5414 8422 M 30
186 164 1 5491 0 C 0
3 153 1 8224 0 C 0
199 175 1 9691 0 C 0
0 84 2 7131 1784 O 20
56 65 1 7233 0 C 0
9 64 1 9280 9254 M 30
136 62 1 9184 0 C 0
4 146 2 4351 0 C 0
50 56 2 6059 1778 O 30
32 75 2 475 1974 O 20
134 40 1 477 7134 O 20
164 195 1 2182 9852 O 10
102 101 1 2285 0 C 0
6 86 2 8674 2132 M 30
171 174 2 9058 0 C 0
108 191 2 9108 9699 O 30
73 165 2 5434 3748 O 20
4 31 2 1705 0 C 0
165 100 1 3103 0 C 0
142 196 2 9441 982 O 30
53 143 2 8784 8633 O 20
53 112 2 8491 0 C 0
19 57 2 9040 0 C 0
76 9 1 2432 0 C 0
93 100 1 9506 0 C 0
11 63 1 877 5991 O 20
63 154 1 2828 0 C 0
46 28 1 7964 9679 O 10
92 164 1 3337 5653 O 10
98 76 1 1975 829 M 10
150 193 2 4956 0 C 0
3 143 2 5196 0 C 0
58 78 2 2113 7206 O 10
155 21 1 2685 3018 M 20
11 95 2 9582 7783 M 30
98 142 2 3249 0 C 0
75 172 1 8190 2915 O 10
118 116 1 10 6789 O 20
75 47 1 8030 9850 M 30
77 197 2 9088 0 C 0
113 191 1 4775 4999 O 30
124 108 1 8595 0 C 0
43 111 1 9005 2627 O 10
83 188 1 878 5069 M 20
76 182 2 2237 1396 O 10
152 197 2 2910 5235 M 20
75 133 2 7697 9800 O 10
126 167 1 7961 0 C 0
13 135 2 7547 0 C 0
115 127 2 4748 4020 O 30
48 70 1 9839 4208 O 10
56 163 1 4791 8580 M 20
24 91 2 4287 6264 M 10
109 145 2 7484 2770 M 10
157 161 1 2385 9595 O 10
5 31 2 1671 4266 O 30
51 57 2 3786 3077 M 30
77 138 1 7233 1191 M 10
113 143 1 2679 9417 O 10
62 93 2 3230 2926 M 20
64 145 2 870 1233 O 10
122 69 1 1437 0 C 0
5 89 1 4556 0 C 0
44 19 1 4251 8484 O 30
117 166 2 4045 0 C 0
193 12 1 5243 8442 O 20
179 199 1 166 5299 M 30
39 115 1 3828 3871 M 30
36 85 1 1011 5372 O 10
54 57 2 9091 2978 M 20
48 177 1 891 3780 M 10
139 179 2 8522 0 C 0
89 110 2 8661 6363 O 10
163 13 1 8022 5717 O 10
103 176 2 2687 0 C 0
95 103 2 416 946 O 30
54 108 2 8166 8273 M 10
82 196 2 7725 0 C 0
169 20 1 251 0 C 0
95 134 2 1203 0 C 0
133 32 1 8467 4429 M 20
162 174 1 4107 0 C 0
16 177 2 6831 0 C 0
65 121 2 4586 1731 O 30
0 30 2 6670 0 C 0
39 3 1 5644 4577 O 20
130 194 2 9789 5271 M 10
138 195 2 6570 9093 O 20
116 125 2 8844 0 C 0
191 107 1 590 7684 M 30
87 146 2 4211 1443 O 20
102 167 1 5371 8300 M 10
30 111 2 729 611 O 10
153 71 1 7045 0 C 0
8 192 2 1348 1143 O 30
32 62 2 3350 6094 O 20
68 195 1 2679 9650 O 30
64 146 2 9716 1365 O 10
19 140 2 5537 7042 O 10
132 173 2 5828 7160 M 20
44 169 1 7939 7224 M 20
136 149 1 4976 0 C 0
169 154 1 4853 1452 M 20
93 197 2 5717 8852 O 30
195 126 1 5785 2604 M 20
44 77 2 4122 5300 O 10
69 46 1 5072 0 C 0
106 162 2 5576 6925 M 10
62 132 2 884 0 C 0
6 134 2 2415 5134 M 10
43 100 2 6893 7566 O 20
50 31 1 6798 8530 O 20
6 161 1 1754 7366 O 30
123 121 1 4143 6420 M 10
140 43 1 9356 655 M 30
43 186 1 8417 9502 M 30
89 155 2 3598 6063 O 30
46 193 1 5892 4745 M 30
29 111 2 1913 3734 O 20
83 20 1 6823 7400 O 20
3 159 1 2205 8347 O 30
127 123 1 1917 2951 M 10
81 153 1 2192 0 C 0
78 176 2 9982 0 C 0
8 71 2 7126 5383 O 30
168 91 1 9905 3177 M 20
134 48 1 3847 0 C 0
9 138 2 7079 0 C 0
81 99 1 9945 571 M 20
62 89 2 4797 395 M 20
184 195 2 5550 2465 M 10
170 78 1 8389 0 C 0
197 74 1 1145 0 C 0
67 185 2 3308 7519 M 10
9 23 1 9134 786 M 10
114 125 2 9870 706 M 30
26 145 2 5048 0 C 0
22 187 1 1369 0 C 0
92 104 2 3588 2178 O 20
100 176 1 1683 0 C 0
107 153 2 9782 1146 M 10
113 50 1 3077 0 C 0
124 190 2 2456 9552 O 30
34 92 2 8251 3732 O 20
50 121 1 3246 9253 O 30
12 135 2 8002 8566 O 10
163 156 1 4614 2999 O 20
53 18 1 6251 5571 M 30
125 150 2 3232 0 C 0
65 101 2 51 0 C 0
25 151 2 3933 0 C 0
7 87 1 8539 625 M 10
33 77 1 9304 0 C 0
68 178 1 4125 476 M 20
33 39 2 7254 0 C 0
77 56 1 7543 9267 M 10
27 114 2 5141 0 C 0
121 180 2 7685 0 C 0
16 103 2 7433 7351 O 30
1 44 2 3777 20 M 10
37 165 2 2113 0 C 0
162 183 1 6751 0 C 0
32 183 2 4508 0 C 0
6 100 2 6619 0 C 0
11 68 1 5027 0 C 0
156 162 1 1840 558 M 20
61 155 2 4687 8719 O 30
51 124 2 5888 6913 M 10
82 191 2 4293 0 C 0
146 30 1 8258 6352 O 30
157 51 1 3675 5998 M 10
0 145 1 2961 0 C 0
29 130 2 430 1918 M 30
13 169 2 9170 0 C 0
110 172 2 6030 3705 O 30
131 193 2 8830 0 C 0
37 180 2 7110 6472 M 10
140 71 1 1894 0 C 0
6 113 2 3295 0 C 0
134 77 1 2004 4828 O 20
132 181 1 5496 0 C 0
3 141 2 6998 3711 O 30
184 68 1 1608 2579 M 10
140 14 1 9343 0 C 0
13 130 1 1998 5864 O 20
71 139 2 2445 4312 M 20
176 5 1 6077 0 C 0
43 86 2 3023 0 C 0
137 186 1 3944 3573 O 30
71 116 2 9350 9903 O 20
104 102 1 7778 1122 M 30
90 198 2 4043 8032 O 10
132 21 1 1963 6403 O 10
64 168 2 1385 8632 M 30
122 197 2 3272 0 C 0
66 67 2 361 0 C 0
131 95 1 2393 1341 O 30
160 41 1 8516 1300 O 20
70 197 2 2287 7520 M 10
12 17 2 9898 9564 O 30
12 25 2 9269 5119 O 30
8 77 2 16 7681 M 10
17 86 1 9697 0 C 0
86 40 1 6626 5339 M 10
182 44 1 4868 3155 M 30
36 104 2 4901 996 O 20
70 149 2 7504 0 C 0
100 194 1 5625 305 M 10
78 119 1 2473 7793 O 20
171 170 1 7889 5989 O 30
125 72 1 5198 404 M 20
93 75 1 3217 1870 O 20
90 123 2 8157 6910 M 30
16 93 2 4374 0 C 0
169 105 1 4681 0 C 0
143 28 1 6818 0 C 0
52 140 1 9985 0 C 0
88 182 1 5319 8892 O 30
15 161 1 5590 0 C 0
84 176 2 7087 4850 M 20
6 20 2 2806 3659 O 30
114 134 2 6069 3622 M 10
13 59 2 9801 9892 O 20
29 43 1 8264 6858 O 10
45 3 1 699 0 C 0
30 89 2 8507 0 C 0
103 33 1 1402 3489 O 20
40 102 2 2597 6054 M 20
1 122 2 3159 0 C 0
40 62 1 742 5591 M 10
20 155 2 194 48 M 20
119 193 2 7693 3469 O 10
185 56 1 2494 0 C 0
10 87 2 8072 9911 M 30
92 121 1 856 0 C 0
119 71 1 5670 0 C 0
29 198 2 5087 0 C 0
19 166 2 8590 7911 O 30
109 134 1 1938 5627 O 10
16 86 2 9504 3247 M 30
119 101 1 5413 1656 M 20
44 189 2 1630 0 C 0
174 47 1 1178 5831 O 30
53 181 1 117 5672 M 10
101 151 2 5116 632 O 10
29 160 2 6902 0 C 0
76 42 1 5784 5918 M 30
130 182 2 9769 8290 O 30
35 90 2 9977 9258 M 20
25 191 2 8965 0 C 0
158 180 2 1062 894 M 20
31 125 1 2508 0 C 0
47 111 2 153 8488 O 20
108 187 2 705 7581 M 30
12 172 2 6724 5480 O 10
14 102 2 3381 4365 M 20
158 168 1 9993 1993 M 10
15 148 2 1840 2926 M 10
108 147 1 5716 0 C 0
75 194 2 1602 4892 O 10
0 31 1 4924 5248 M 10
69 136 2 9320 2629 M 10
197 12 1 1604 0 C 0
6 31 2 218 0 C 0
15 173 2 328 2609 O 10
24 75 2 9656 0 C 0
4 141 2 8828 8346 O 10
23 45 2 3320 7791 O 20
113 7 1 2010 0 C 0
139 186 2 8967 0 C 0
8 119 1 2514 6723 O 30
161 151 1 8687 5827 M 30
58 84 2 1922 8191 O 30
167 183 2 8437 2276 M 10
151 27 1 2581 0 C 0
156 93 1 7958 9284 M 20
82 181 1 6658 6954 M 10
76 170 2 630 0 C 0
68 94 1 2824 8099 M 20
188 7 1 2023 5161 M 10
14 165 1 4281 1096 M 30
17 187 2 6877 0 C 0
77 168 2 6434 0 C 0
21 75 2 6281 2847 O 30
75 178 2 9520 9761 O 30
4 125 2 9310 0 C 0
192 95 1 9250 2886 M 30
146 187 2 1429 7376 M 20
9 56 2 2443 9316 O 30
132 108 1 2546 3165 O 10
11 188 2 3768 2638 O 30
95 117 2 2526 0 C 0
36 117 2 3128 5092 O 10
132 145 2 189 9644 M 30
132 199 2 7056 0 C 0
54 189 2 6581 0 C 0
23 70 2 8511 0 C 0
81 84 2 3705 8258 O 30
170 185 1 1845 0 C 0
189 157 1 9916 0 C 0
178 54 1 8369 8683 M 20
0 48 2 6240 5968 O 20
1 198 2 6955 5290 M 10
36 82 2 2905 430 O 20
11 147 2 3213 0 C 0
47 158 1 9094 8487 O 30
187 128 1 157 8379 M 30
7 189 2 2713 615 M 10
65 199 1 57 6096 O 30
84 126 2 4765 8236 M 10
14 183 1 6109 77 O 20
59 37 1 1752 0 C 0
112 116 2 8786 8102 M 20
21 57 1 5921 7010 O 20
113 117 1 4997 0 C 0
154 170 1 7967 8404 O 20
79 198 2 8900 0 C 0
2 98 2 9020 8140 O 10
25 58 2 4744 0 C 0
102 131 2 9086 8774 O 30
20 138 2 6154 0 C 0
72 97 1 3845 5638 M 10
21 123 1 8613 0 C 0
126 191 1 7045 967 O 10
100 167 2 489 0 C 0
55 54 1 5681 0 C 0
82 91 1 9103 1431 O 10
28 95 1 9612 778 O 10
11 109 2 4887 7639 M 30
77 22 1 3033 0 C 0
126 153 2 9668 0 C 0
22 177 2 1626 1078 O 20
158 79 1 4804 0 C 0
31 60 2 8677 9264 O 20
14 75 2 9099 0 C 0
60 165 2 4174 0 C 0
150 151 2 6349 7799 M 30
3 124 2 6271 1294 O 20
58 137 1 4548 7408 O 20
101 36 1 4976 0 C 0
89 10 1 7642 3478 O 30
53 167 2 8653 0 C 0
137 101 1 3345 5709 O 20
137 177 2 972 1330 M 10
128 131 2 2617 0 C 0
174 147 1 4827 2558 M 30
10 46 2 626 8556 O 10
7 23 1 4986 1964 M 30
48 51 1 622 4485 O 10
124 182 1 9389 0 C 0
171 172 1 7492 9049 O 10
14 100 2 4878 1120 M 20
86 123 2 2751 1153 O 30
161 55 1 9064 6697 M 20
175 120 1 6494 0 C 0
42 103 2 374 5989 O 20
17 135 1 1353 2415 O 30
151 97 1 7769 6123 M 20
43 170 2 6910 0 C 0
112 170 2 1707 7857 M 30
150 186 1 1061 5888 O 20
139 176 2 3497 1270 O 20
77 186 1 806 6432 M 20
60 71 2 6820 0 C 0
71 154 1 4024 0 C 0
184 28 1 1442 9783 M 20
194 111 1 1496 0 C 0
35 121 2 7368 0 C 0
109 38 1 613 2773 M 20
18 102 2 6683 0 C 0
98 70 1 283 9504 M 30
98 109 1 5537 0 C 0
4 25 2 8565 9119 O 20
46 85 1 9212 2421 M 20
74 188 1 2742 3211 O 10
92 192 1 1069 9827 M 30
15 97 1 7619 0 C 0
31 42 2 479 6689 M 10
